exp_id;F1_macro;F1_weighted
3;66.04773044033759;78.00122137954246
1;66.84641852364504;73.93502383412255
6;56.12474741265546;75.41715920235217
5;64.83621403898452;65.87646197277392
2;70.58017766170238;82.84757205809184
7;67.70189293682135;80.63973404846703
4;67.47921462699999;77.09169692729175
8;65.53038202795216;72.89440777694135
9;71.5154033426175;83.15351867025606
10;75.93700018203734;84.43261176018228
11;67.2725543663901;80.87734618565385
12;59.64413529091472;77.06332200612921
13;69.17868301103296;79.6985292641515
14;61.32331704724508;77.8669415052284
15;73.06829033655825;82.53112132195835
16;70.60905153963367;81.53700596124646
17;65.51449665433611;71.51889962416209
18;68.16316347978207;83.85868493325455
19;66.63172402002219;81.66556320022748
20;59.400196839941316;69.73606018797379
