seed,model,regime,macro,tcam,partition,sequence
6,lightgbm,fair,96.01838889434994,5.555555555555555,"{injection} {ddos,dos,normal,scanning} {password} {xss}","[0, 2, 3, 1]"
6,catboost,fair,95.9962774626856,11.458333333333332,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 3, 2, 1]"
6,rf,original,96.35343892314843,10.416666666666666,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
6,xgboost,original,96.35343892314843,9.722222222222221,"{injection} {ddos,dos,normal,scanning} {password} {xss}","[0, 2, 1, 3]"
6,lightgbm,original,96.35343892314843,9.722222222222221,"{injection} {ddos,dos,normal,scanning} {password} {xss}","[0, 2, 1, 3]"
6,catboost,original,96.35343892314843,10.416666666666666,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 1, 3]"
7,rf,fair,96.0195533708645,11.458333333333332,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[2, 3, 0, 1]"
7,xgboost,fair,96.09188504358879,9.375,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
7,lightgbm,fair,96.17981274728415,8.680555555555555,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
7,catboost,fair,96.15828948054325,12.152777777777779,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 1, 3]"
7,rf,original,96.30898503027126,11.11111111111111,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
7,xgboost,original,96.30898503027126,11.11111111111111,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
7,lightgbm,original,96.30898503027126,11.11111111111111,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
7,catboost,original,96.30898503027126,11.11111111111111,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 1, 3]"
8,rf,fair,95.39265027925991,9.027777777777779,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[2, 3, 0, 1]"
8,xgboost,fair,96.5836572650537,7.638888888888889,"{injection} {ddos,dos,normal,scanning} {password} {xss}","[0, 2, 1, 3]"
8,lightgbm,fair,96.21329305187619,7.986111111111111,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
8,catboost,fair,95.80390180824793,12.5,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 1, 3]"
8,rf,original,96.0112762059031,9.027777777777779,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[2, 3, 0, 1]"
8,xgboost,original,96.0112762059031,8.680555555555555,"{injection} {ddos,dos,normal,scanning} {password} {xss}","[0, 2, 3, 1]"
8,lightgbm,original,96.0112762059031,9.027777777777779,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
8,catboost,original,96.0112762059031,9.027777777777779,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 1, 3]"
9,rf,fair,96.40734488659812,11.805555555555557,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[2, 3, 0, 1]"
9,xgboost,fair,96.3272661106957,8.680555555555555,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
9,lightgbm,fair,96.37171746026817,8.333333333333334,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
9,catboost,fair,96.45619923633694,11.11111111111111,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 3, 2, 1]"
9,rf,original,96.37072537770507,9.027777777777779,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
9,xgboost,original,96.37072537770507,9.027777777777779,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
9,lightgbm,original,96.37072537770507,9.027777777777779,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
9,catboost,original,96.37072537770507,9.027777777777779,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 1, 3]"
10,rf,fair,95.38598252693042,10.069444444444446,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
10,xgboost,fair,96.28095146676198,7.291666666666666,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
10,lightgbm,fair,96.52752867499314,8.333333333333334,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
10,catboost,fair,96.37361337253667,10.416666666666668,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 3, 2, 1]"
10,rf,original,96.5763058792101,7.638888888888889,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
10,xgboost,original,96.5763058792101,7.638888888888889,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
10,lightgbm,original,96.5763058792101,7.638888888888889,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 2, 3, 1]"
10,catboost,original,96.5763058792101,7.638888888888889,"{ddos,dos,normal,scanning} {injection} {password} {xss}","[0, 3, 2, 1]"
