seed,model,class,precision,recall,f1,support
1,rf,ddos,0.9656682641977355,0.982730165769193,0.974124510425927,499.9999999998965
1,rf,dos,0.954990217064908,0.9558602081545566,0.9554250145606108,499.9999999998435
1,rf,injection,0.9588598348418438,0.9489725541125554,0.9538905742181072,500.0000000000076
1,rf,macro avg,0.975501781158397,0.9382328117300466,0.9555125232169778,3499.4650860396787
1,rf,micro avg,0.9754143974511338,0.9382276547991003,0.9564597114718771,3499.4650860396787
1,rf,normal,0.9895288948089558,0.9719700127370254,0.980670862258504,499.4650860399464
1,rf,password,0.9912881054463695,0.8973987845742344,0.9420097589397288,499.99999999999596
1,rf,scanning,1.0,1.0,1.0,500.0
1,rf,weighted avg,0.9754996370310168,0.9382276547991003,0.955508677615883,3499.4650860396787
1,rf,xss,0.9681771517489662,0.8106979567627604,0.8824669421159668,499.99999999998875
1,xgboost,ddos,0.9584556415614199,0.9867333333333356,0.972388947558383,499.9999999998965
1,xgboost,dos,0.9556039882051885,0.9504966087675573,0.9530434558976969,499.9999999998435
1,xgboost,injection,0.9390371386104814,0.9431341269841284,0.9410811737679806,500.0000000000076
1,xgboost,macro avg,0.9698735463621635,0.9404657097784955,0.9543029939300232,3499.4650860396787
1,xgboost,micro avg,0.969538488675879,0.9404631894536288,0.9547795374202205,3499.4650860396787
1,xgboost,normal,0.9793283337353003,0.9569539481318609,0.9680118692008844,499.4650860399464
1,xgboost,password,0.9932261898869197,0.8992386538552802,0.9438985193527761,499.99999999999596
1,xgboost,scanning,1.0,0.994,0.9969909729187563,500.0
1,xgboost,weighted avg,0.9698721011419291,0.9404631894536288,0.9543008984472624,3499.4650860396787
1,xgboost,xss,0.9634635325358346,0.8527032973773067,0.9047060188136846,499.99999999998875
1,lightgbm,ddos,0.9512689160981234,0.9867333333333356,0.9686766346667107,499.9999999998965
1,lightgbm,dos,0.9503852944137595,0.9515188309897797,0.9509517249073582,499.9999999998435
1,lightgbm,injection,0.9431563712629563,0.9531348917748927,0.9481193774108273,500.0000000000076
1,lightgbm,macro avg,0.973369837643478,0.924462196153186,0.945452535946271,3499.4650860396787
1,lightgbm,micro avg,0.9722915707221003,0.9244558524198633,0.9477705063372295,3499.4650860396787
1,lightgbm,normal,0.9894947589171702,0.9659635868949595,0.9775875907399387,499.4650860399464
1,lightgbm,password,0.9932253584735454,0.8991275427441692,0.9438369295503534,499.99999999999596
1,lightgbm,scanning,0.999199038846616,0.998,0.9985991594956974,500.0
1,lightgbm,weighted avg,0.9733673728537812,0.9244558524198633,0.9454476239128614,3499.4650860396787
1,lightgbm,xss,0.986859125492176,0.7167571873351642,0.830396334853011,499.99999999998875
1,catboost,ddos,0.9850052130492749,0.9802225108225144,0.9826080421928919,499.9999999998965
1,catboost,dos,0.9586995054991244,0.968885071662678,0.9637653777622266,499.9999999998435
1,catboost,injection,0.9684199553678507,0.9336471428571442,0.9507156979465125,500.0000000000076
1,catboost,macro avg,0.9799338326273634,0.9501382478627304,0.9644569991230838,3499.4650860396787
1,catboost,micro avg,0.9798579465491236,0.9501356090741235,0.9647679124502849,3499.4650860396787
1,catboost,normal,0.9820345962690935,0.9674014888389694,0.9746631220991631,499.4650860399464
1,catboost,password,0.9927015977796187,0.9014373912290177,0.9448708291884034,499.99999999999596
1,catboost,scanning,0.9996364958197019,1.0,0.9998182148700235,500.0
1,catboost,weighted avg,0.9799335115132022,0.9501356090741235,0.9644554390567522,3499.4650860396787
1,catboost,xss,0.9730394646068796,0.8993741296287888,0.9347577098023659,499.99999999998875
2,rf,ddos,0.9517284172507788,0.9703952380952409,0.9609711856897352,499.9999999998965
2,rf,dos,0.9650422464705051,0.94543830438377,0.955139694831023,499.9999999998435
2,rf,injection,0.9499197484067523,0.951312236652238,0.9506154825908004,500.0000000000076
2,rf,macro avg,0.9711445637521672,0.9292388017781772,0.9481038096174055,3499.4650860396787
2,rf,micro avg,0.9708018500790444,0.9292314437535725,0.9495618920739396,3499.4650860396787
2,rf,normal,0.9717912768335906,0.9773757959948849,0.9745755363677826,499.4650860399464
2,rf,password,0.9852637351615059,0.8907432714598974,0.9356223506745884,499.99999999999596
2,rf,scanning,1.0,1.0,1.0,500.0
2,rf,weighted avg,0.9711444648982441,0.9292314437535725,0.9480997632572221,3499.4650860396787
2,rf,xss,0.9742665221420382,0.7694067658612088,0.8598024171679087,499.99999999998875
2,xgboost,ddos,0.9698525576008592,0.9827333333333351,0.9762504596578325,499.9999999998965
2,xgboost,dos,0.961886594639883,0.9490096522458192,0.9554047365646546,499.9999999998435
2,xgboost,injection,0.947451865002412,0.9420442568542582,0.9447403228267466,500.0000000000076
2,xgboost,macro avg,0.9768857364110399,0.9279060872419862,0.9499250799727313,3499.4650860396787
2,xgboost,micro avg,0.9764229479514849,0.9278987397315491,0.9515426187804359,3499.4650860396787
2,xgboost,normal,0.9845822500626971,0.9759742966317362,0.9802593764522523,499.4650860399464
2,xgboost,password,0.9887500956716702,0.8859477252559779,0.9345302355699,499.99999999999596
2,xgboost,scanning,1.0,0.998,0.998998998998999,500.0
2,xgboost,weighted avg,0.9768845599533551,0.9278987397315491,0.9499204431958927,3499.4650860396787
2,xgboost,xss,0.9856767918997579,0.7616333463727767,0.859291429738734,499.99999999998875
